quarter,as_on_date,symbol,company,sector,universe,fii_pct,dii_pct,source,updated_at
2024Q1,31-MAR-2024,PEL,Piramal Enterprises Limited,Financial Services,Midcap,16.97,13.2,https://nsearchives.nseindia.com/corporate/xbrl/SHP_188138_1103649_20042024020818_WEB.xml,2026-06-04T17:27:29+00:00
2024Q2,30-JUN-2024,PEL,Piramal Enterprises Limited,Financial Services,Midcap,16.19,13.35,https://nsearchives.nseindia.com/corporate/xbrl/SHP_190730_1198251_20072024085944_WEB.xml,2026-06-04T17:27:28+00:00
2024Q3,30-SEP-2024,PEL,Piramal Enterprises Limited,Financial Services,Midcap,14.93,14.95,https://nsearchives.nseindia.com/corporate/xbrl/SHP_193616_1284614_22102024020440_WEB.xml,2026-06-04T17:27:27+00:00
2024Q4,31-DEC-2024,ABB,ABB India Limited,Capital Goods,Nifty Next 50,11.85,5.69,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195208_1350134_17012025065810_WEB.xml,2026-05-22T16:49:39+00:00
2024Q4,31-DEC-2024,ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Midcap,9.22,9.52,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195223_1350225_17012025072934_WEB.xml,2026-06-04T17:22:08+00:00
2024Q4,31-DEC-2024,ABFRL,Aditya Birla Fashion and Retail Limited,Retail,Midcap,18.35,14.57,https://nsearchives.nseindia.com/corporate/xbrl/SHP_195354_1351320_19012025120702_WEB.xml,2026-06-04T17:22:14+00:00
2024Q4,31-DEC-2024,ACC,ACC Limited,Cement,Midcap,5.14,24.66,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194528_1344268_13012025065733_WEB.xml,2026-06-04T17:22:19+00:00
2024Q4,31-DEC-2024,ADANIENT,Adani Enterprises Limited,Conglomerate,Nifty 50,11.73,6.61,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194363_1342852_11012025025121_WEB.xml,2026-06-04T18:22:45+00:00
2024Q4,31-DEC-2024,ADANIGREEN,Adani Green Energy Limited,Power,Nifty Next 50,13.68,1.72,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194331_1342582_10012025081643_WEB.xml,2026-05-22T16:49:48+00:00
2024Q4,31-DEC-2024,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Infrastructure,Nifty 50,13.94,14.2,https://nsearchives.nseindia.com/corporate/xbrl/SHP_194296_1342155_10012025050607_WEB.xml,2026-06-04T18:22:50+00:00
